,id,title,overview,release_date,popularity,vote_average,vote_count
27,1292645,Kuncen,"After 24 hours without news from her boyfriend who was climbing a mountain, Awindya, a high school girl, was determined to invite her two friends, Agnes and Mojo to follow her boyfriend to Mount Merbabu. Upon arrival, the caretaker or Kuncen of the mountain had died tragically due to black magic. Together with two other people, Yoga and Diska, who also lost their closest people on the mountain, they agreed to find out who the new Kuncen was in order to find their missing friends. It is said that according to local beliefs, without a Kuncen, the mountain is a place that holds mysteries and all supernatural creatures succeed in terrorizing those who dare to enter it. Will they succeed in finding the successor of the guardian; the Kuncen of the Mountain?",2025-11-06,2.0774,2.8,5
28,1280089,The Siege at Thorn High,"Edwin promised to his sister on her deathbed to find her son she gave up a long time ago. Edwin's quest brought him to become a substitute teacher in Duri High School, Jakarta, a school for juvenile delinquents. There he must face the most violent students to find his nephew. When he eventually finds the boy, a city-wide riot erupts and Edwin is trapped in the school with the cruel kids out for his blood.",2025-04-17,2.1416,7.288,40
29,1064312,The Wailing of the Maghrib,"A terror chases the souls of Adi and Saman. Ayu knows the reason as to why they are tormented - a sin committed at the most dangerous time of Maghrib Time. What sin have they committed and what will happen to Adi, Saman, Ayu and their village?",2023-02-09,2.0268,6.0,22
30,1127087,Sijjin,"Irma falls in love with Galang, her cousin who already has a wife and children. Irma is very obsessed and wants to be the only woman in Galang's life. Irma comes to the shaman to send black magic to Galang's wife. Since then terror and mystical disturbances, possession and death have occurred in Galang's house. However, the threat also targeted Irma herself.",2023-11-09,2.1226,5.8,15
31,1148817,Vina: Before 7 Days,"Victim of atrocities by motorbike gangs in Cirebon, VINA did not accept that her death was called a single accident. Her spirit enters to reveal the facts. Before 7 Days, what actually happened?",2024-05-08,1.9538,6.2,14
32,683328,The Big 4,A by-the-book female detective teams up with four down-on-their-luck assassins to investigate her father's murder.,2022-12-19,1.6952,6.8,213
33,403605,Headshot,"A young man washes ashore, his memory gone - but his past comes back to haunt him after he is nursed back to health and his killing ability is needed when he takes on a powerful drug lord.",2016-09-24,1.6206,6.422,483
34,1385536,Sore: A Wife from the Future,"A young man living alone in Croatia encounters a woman who claims to be his wife from the future, sent on a mission to help him correct his bad habits and improve his lifestyle.",2025-07-10,1.371,7.646,41
35,1049082,Jumbo,"Desperate to prove to his peers that he’s more than a chubby kid that never wins at anything, little Don wishes to win his local talent show by performing a stageplay inspired from a storybook written by his late parents. When unfortunately a bully stole that book, at the same time a little ghost appeared from the spirit world asking for Don’s help to reunite her with her parents’ spirits. The two new friends then embark on an exciting adventure to help each other and learn the true meaning of friendship.",2025-03-31,1.681,7.647,34
36,925786,Satan's Slaves 2: Communion,"After moving from their home to an apartment building, a new terror awaits Rini’s family.",2022-07-30,1.9874,6.965,71
37,624091,Sri Asih,"Alana discover the truth about her origin: she’s not an ordinary human being. She may be the gift for humanity and become its protector as Sri Asih. Or a destruction, if she can’t control her anger.",2022-11-17,1.6216,6.5,159
38,1422294,Jalan Pulang,"After her husband's mysterious death, Lastini believes a dark entity is possessing her daughter, Arum. With only five days before Arum's leap-year birthday, Lastini and her two other children journey across Java to seek help from spiritual healers. As the demon's grip tightens, they race against time to save Arum and find their way back home.",2025-06-19,1.6421,5.6,6
39,1391153,The Book of Sijjin & Illiyyin,"As a child, Yuli witnessed her parents die at the hands of a mysterious force after her mother became possessed. Branded a cursed and unwanted child, she survived and grew up under the roof of her father's other wife Ambar and her daughter Laras, enduring constant humiliation. Fueled by vengeance, Yuli performs a forbidden ritual. As the dark magic takes root, the world around her begins to unravel.",2025-07-17,1.4366,7.6,7
40,1475372,Shutter,"Darwin, a senior photographer who consistently uses a manual camera, is shocked to discover the appearance of a woman's shadow in every photo he takes. Soon, the woman's figure appears in real life, terrorizing him. Pia, Darwin's girlfriend, decides to investigate the woman's identity. It turns out the woman is Lilies, an outstanding student who once studied at their university. When Darwin's friends die one by one, Pia is convinced this is related to a 'sin' Darwin committed in the past.",2025-10-30,1.5731,6.167,9
41,1261543,The Demon's Bride,"When her daughter is severely injured, a desperate mother makes a deal with a demon to save her — but the price will have to be paid in blood.",2025-01-29,1.5389,6.0,15
42,39067,Macabre,Six friends are captured and tortured by a murderous family after giving a ride home to a desperate stranger.,2009-10-08,1.4585,6.3,84
43,503902,Sabrina,A toy manufacturer and his wife are terrorized by a demon after their orphaned niece tries to call her late mother's spirit.,2018-07-12,1.196,5.3,192
44,1163953,Munkar,An oddity that caused unrest at an Islamic boarding school occurred since one of the female students returned. What's really going on?,2024-02-07,1.2581,5.0,5
45,1516949,Crow Satay Supernatural Wealth Ritual,"Three friends are caught between the pressures of life and the promise of instant wealth through a crow satay ritual. But when ghosts begin to appear incessantly, they must choose: continue serving for money, or stop before everything spirals out of control.",2025-11-13,1.4016,5.8,5
46,1393069,The Most Beautiful Girl in the World,A playboy stages a dating show to earn his inheritance by granting his father's last wish: for his son to marry the most beautiful girl in the world.,2025-02-13,1.2689,6.6,36
47,358909,A Copy of My Mind,The new romance between a beauty salon worker and a subtitle writer for pirated DVDs gets pulled into danger when they view a forbidden recording.,2016-02-11,1.2598,6.263,19
48,190899,Dead Mine,"The legend of Yamashita's Gold lures a treasure hunter and his group deep into the Indonesian jungle. Once they are trapped in an abandoned World War II Japanese bunker, they face the terrifying reality that the only way out is to go further in.",2012-09-27,1.1005,4.8,125
49,1135871,Open VCS,Kelas Bintang is back with this pack of drama called Open VCS.,2023-05-23,1.1786,5.6,5
50,1391149,The Wailing of the Maghrib 2,"Two decades after the terrifying events in Jatijajar, the evil spirit Jin Ummu Sibyan returns—this time in the village of Giritirto. After a heated argument following a football match, a group of kids unknowingly unleashes the ancient terror with a careless curse at dusk. Possession follows, and the nightmare begins again.",2025-05-28,1.3543,5.9,6
51,1355139,"La Tahzan: Cinta, Dosa, Luka...","Alina, who has a harmonious and loving family, never expected that the arrival of a new nanny in her home would become a significant threat. Now, Alina is faced with the choice to let go or fight to protect the unity of her family.",2025-08-14,1.0703,6.9,7
52,1363381,Haunting of Mount Gede,A hike on Mount Gede during school break turns terrifying for two friends when one defies a local superstition — and a vengeful spirit takes hold of her.,2025-02-06,1.2252,6.5,11
53,1058833,Khanzab,"After his father was beheaded by ninjas in Banyuwangi '98, Rahayu was traumatized to the point where he found it difficult to concentrate on his prayers due to interference from the khanzab.",2023-04-19,1.1084,5.2,7
54,34626,Merantau,"In Minangkabau, West Sumatera, Yuda a skilled practitioner of Silat Harimau is in the final preparations to begin his ""Merantau"" a century's old rites-of-passage to be carried out by the community's young men that will see him leave the comforts of his idyllic farming village and make a name for himself in the bustling city of Jakarta.",2009-08-06,1.2271,6.481,235
55,590593,The Queen of Black Magic,"Revisiting the orphanage where they grew up, three men and their families discover a horrific supernatural presence lingering in their former home.",2019-11-07,0.9122,6.6,84
56,1389137,Komang,"Fate brought together Ode, a young man from Buton with big dreams, and Ade, a wanderer from Bali. Like two souls in love, they believed that fate would one day unite them. However, their journey was hindered by the presence of another man who shared the same faith as Ade, and Ode had to go to Jakarta to pursue his dreams. Will fate ultimately bring Ode and Ade together?",2025-03-31,1.1816,7.3,9
57,1420270,The Verdict,"Raka, a court security officer, and his pregnant wife, Nina, celebrate her success in passing the bar exam. But their joyous celebration is shattered when Nina is found brutally murdered. As the trial spirals towards an unjust outcome, Raka resolves to overturn the corrupt verdict and seek justice for his late wife.",2025-11-20,1.2124,6.563,8
58,1393071,Better Off Dead,"After his father's death, Gema, an awkward young man, is surprised by the warmth from his coworkers. When it fades, he begins to wonder who must die next, setting off a chain of lies that spirals into chaos.",2025-08-14,1.2388,8.4,10
59,638985,KKN: Curse of the Dancing Village,"Six students were terrorized by a mysterious dancer while running a community service program in a remote village. Apparently, one of them violates the most fatal rule in the village.",2022-04-30,0.9727,5.8,35
60,1181068,Ipar Adalah Maut,"Aris was the perfect husband and ideal family man. That is, until his sister-in-law moves in and they begin a forbidden affair.",2024-06-13,1.097,6.7,19
61,1138891,The Haunted Hotel,Two sisters travel to Semarang to help manage a mysterious hotel where they encounter a dark secret and a deadly curse.,2023-11-30,1.1133,5.1,14
62,551478,Jakarta vs Everybody,Dom came to Jakarta with a hope of becoming an actor. His encounter with Pingkan and Radit brings him deep into the labyrinth of drug trafficking. Will he abandon his dream?,2020-11-26,1.0844,5.1,7
63,1126357,Borderless Fog,A big-city detective investigates a series of gruesome murders along the Indonesia-Malaysia border — forcing her to confront ghosts from her past.,2024-07-31,0.9669,6.25,68
64,1045343,Qorin,Life at a boarding school descends into chaos when a teacher instructs his students to perform a forbidden ritual that summons their doppelgängers.,2022-12-01,0.9463,4.4,14
65,1263112,Kang Mak from Pee Mak,"Returning home with his friends, a soldier reunites with his wife, not knowing she's become a ghost. But her death's not the end of their love story.",2024-08-15,1.1897,6.0,12
66,1261148,The Deceased,"When their father dies on a cursed day, terror follows siblings Nuri and Yanda as they navigate myths, rituals and their older brother's protests.",2025-01-09,1.2476,5.9,8
67,1421634,Sukma,"Arini and her family went to a small town to start a new life, but it turns into a disaster after they find an ancient mirror in a secret warehouse.",2025-09-11,0.8729,5.4,7
68,655831,Tarung Sarung,"Wealthy and spoiled, a young man finds something to fight for when he falls in love with an environmental activist protesting his family's business.",2020-12-31,1.0483,7.4,5
69,632885,May the Devil Take You Too,"Two years after escaping from demonic terror, a young woman is still haunted by unnatural vision. The dangers that await her and her friends are increasingly threatening.",2020-02-27,1.0526,6.9,65
70,1268749,Kromoleo: The Haunting,Zia heads home for her mother's funeral. Little does she know that her arrival triggers the haunting of spirits seeking revenge for her father's death.,2024-08-22,0.9135,4.2,12
71,1380486,Risky Business,"Desperate to pay their father's medical bills, three brothers wind up in a world of trouble when they try to burglarize the home of a mob boss.",2024-12-19,0.8782,5.6,5
72,1305926,The Last 7 Days,A curse on their recently deceased mother leaves Tari and her brother Kadar with only seven days to free her soul and protect their family from darkness.,2025-01-23,1.0709,6.781,16
73,1269108,Curse of the Seven Seas,"After finding a strange package, Sucipto and his family suspect a terrible curse is responsible for a string of misfortunes taking over their lives.",2024-11-07,0.904,5.7,12
74,492459,Dilan 1990,"At a Bandung high school, charming and rebellious Dilan vies for the affections of shy new student Milea.",2018-01-25,1.0295,7.686,35
75,1407862,Lost in the Spotlight,"Just as he lands a prestigious role, a famous actor mysteriously loses his ability to act, sparking a journey of self-discovery amid public pressure.",2025-12-02,0.9442,6.688,8
76,535736,DreadOut,"A group of high school friends decide to livestream themselves inside a haunted apartment building, but end up opening a portal to Hell.",2019-01-03,0.8728,6.4,37
77,1074313,Falling in Love Like in Movies,"Bagus, a screenwriter, reunites with his high school friend and crush, Hana, who is still grieving from the loss of her husband. He wants to convince her to fall in love once again, just like in the movies.",2023-11-30,1.1386,8.727,33
78,1401052,Tenung,"Ira lives with her mother, Linda. One day, without any rational explanation, a mystical incident causes Linda to behave like a madwoman—suffering physically and frequently hallucinating. Unable to cope with her mother's condition, Ira asks her siblings, Ara and Ari, to come home and help take care of their mother. Unfortunately, fate has other plans, and Linda eventually passes away.",2025-06-05,1.1342,6.3,5
79,405521,"Reality, Love and Rock’n Roll","Two rowdy high school buddies pal around with a music-loving friend and dream of becoming rock stars, but can't escape their stressful family lives.",2006-02-02,0.9973,6.1,7
80,1285728,A Normal Woman,"When an unidentified disease starts to upend her life, a socialite must unravel the mystery behind it — before her whole sense of self falls apart.",2025-07-23,0.8345,5.9,61
81,665042,Miracle in Cell No. 7,"Dodo Rozak just wants to be a good father to his daughter, Kartika, despite his limited intelligence, acts and behaves like children. In fact, it is Kartika who takes care of her father most of the time. Both live happily.",2022-09-08,0.945,7.9,15
82,1134682,Dominion of Darkness,"After losing his mother and sister, Thomas plans to resign as a priest but is tasked with assisting exorcist Rendra. Together, they confront demons possessing Kayla, his late sister's friend, while her mother Maya battles a haunting past.",2024-10-03,1.0014,6.1,16
83,1374462,A Woman Called Mother,"After her father’s death, Vira’s mother has a mental breakdown. To start fresh, the family moves to a new city and opens a hair salon together. While the family attempts to adjust to their new lives, Vira’s mother, Yanti, begins exhibiting strange, violent behavior reminiscent of her mental breakdown and becomes particularly preoccupied with her son’s sex life. Vira begins to investigate the strange occurrences and discovers that a dangerous ritual and a demonic possession are just the tip of the iceberg.",2025-09-25,0.8739,7.143,7
84,1321326,"The Haunted Apartment: ""Miss K""","Apartment 610 holds a dark and terrifying secret: anyone who enters it will die within four days. Can Alma and her sister, Mia, escape the curse?",2024-12-25,0.9276,5.6,14
85,1264429,Temurun,"After their mother dies during a violent break-in, two siblings move in with their estranged father discover their family's sinister heritage.",2024-05-30,0.871,6.262,21
86,1450345,Andai Ibu Tidak Menikah Dengan Ayah,"When her medical school scholarship was at risk of being revoked, Alin, who had been living away from home, was forced to return. After coming back, Alin’s perspective began to shift. She realized for the first time that her mother had been living in hardship, while her father was rarely around. Her younger sibling and older sibling also had to bear heavy burdens for the family, even sacrificing themselves and their dreams. While at home, Alin accidentally discovered her mother’s diary. Its pages were filled with memories from her mother’s youth, including her first love. This made Alin wonder: if her mother hadn’t married her father, would she have lived a happier life?",2025-09-04,0.868,6.8,5
87,858815,Photocopier,"When photos of her at a party cause her to lose a scholarship, a student investigates whether something devastating happened to her that night.",2021-10-08,0.9027,6.922,270
88,1314239,Pamali: The Little Devil,"When Putri's mother suddenly disappeared mysteriously, she decided to trace the available clues to find her mother again, starting from walking through a haunter forest, an abandoned factory, until arriving at an old house which turned out to be inhabited by ""tuyul"" and the terrifying black ""kuntilanak"".",2025-08-07,0.8348,7.6,8
89,1107979,Ancika,"When the former leader of a motorcycle crew tries to win the heart of an unconventional student, his romantic pursuit quickly turns into a bumpy ride.",2024-01-11,0.9005,5.9,8
90,1074299,The Verge of Death,"Nadia, the sole survivor of her family's tragic fate, grapples with the looming threat of her father's sacrifice as she faces a life on the edge.",2023-09-28,0.7009,6.105,19
91,1603423,Mens Rea,"In his 10th comedy special, Pandji Pragiwaksono riffs on Indonesian legal culture and the absurdities of daily life in this stand-up political satire.",2025-12-27,0.7628,7.786,7
92,549087,The Empty Chair,A student from an unruly class is forced to fill the empty seat which was kept empty due superstitious reasons. Strange events begin to happen to the students and teacher of the class.,2006-10-19,0.5738,4.8,5
93,642657,Milea,"Years after his teen romance with Milea, a now-adult Dilan tells his version of their love story when a high school reunion brings them back together.",2020-02-13,0.6421,6.2,29
94,524736,The Chanting: Revisited,"A group of kids agree to explore an abandon house in order to win a reality show contest, which requires them to prove that the stories of the evil Kuntilanak are real. They soon discover that the ghost is very much real when it appears from an old mirror and starts haunting them.",2018-06-14,0.726,5.9,62
95,1310741,A Brother and 7 Siblings,"After the untimely death of his older sister and her husband, a struggling young architect suddenly becomes a ""single parent"" for his nieces and nephews. When the opportunity for a better life arises, he must choose between his love life, career, or his family.",2025-01-23,0.9358,8.5,22
96,796158,Yuni,"In her last year of secondary school, a bright Indonesian student is determined to pursue her education and resist getting married, despite the expectations of her community.",2021-12-09,0.6614,6.8,32
97,1246992,Kuyang,A couple moves to a remote village for work only to find themselves hunted by a supernatural entity out to claim their unborn child.,2024-03-07,0.6448,5.8,17
98,1255559,Dilan 1983,"In this 1980s prequel, Dilan reunites with his elementary school friends after a year and a half away and tries to impress a new transfer student.",2024-06-13,0.7732,5.9,7
99,413484,The Chanting 3,"A group of youngsters is on a mission to Ujung Sedo, to find their missing friends in a haunting jungle. Along the way, they met Samantha who's in a personal mission to the a mystical village. They went across the dark woods, a deafening fog, and a deadly cave where strange events followed them. Every twist is connected to Samantha who has a wicked curse to summon a she-devil called Kuntilanak. The old witch who lives in the village may be the only one who can stop the curse. But, that's not her plan at all.",2008-03-13,0.4968,4.4,7
